danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track,artist
0.373,0.467,0,-9.748,1,0.039,0.529,0.439,0.108,0.0662,85.67,audio_features,397160,4,Journey of the Sorcerer - 2013 Remaster,Eagles
0.375,0.206,2,-18.468,0,0.0372,0.457,0.139,0.158,0.205,134.45,audio_features,463827,3,Appena un po',Premiata Forneria Marconi
0.341,0.556,4,-10.449,0,0.0307,0.541,0.0118,0.118,0.5,140.822,audio_features,377667,4,Marie Antoinette,Curved Air
0.501,0.348,5,-8.952,0,0.0471,0.867,0.669,0.189,0.267,137.515,audio_features,134133,4,Vivaldi,Curved Air
0.428,0.266,0,-15.661,1,0.0321,0.847,0.0483,0.0902,0.331,149.801,audio_features,189293,5,Take Ten,Paul Desmond
0.571,0.453,0,-14.386,0,0.0352,0.81,0.000953,0.701,0.704,149.112,audio_features,523400,4,Compared to What - Live,Eddie Harris
0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,audio_features,333947,4,Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition,Herbie Hancock
0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,audio_features,288160,4,Ramblin',Ornette Coleman
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,337413,4,A Day In The Life,Wes Montgomery
0.568,0.686,1,-7.432,1,0.0393,0.794,0.00324,0.11,0.553,138.406,audio_features,614947,4,Totem Pole - Remastered 1999/Rudy Van Gelder Edition,Lee Morgan
0.474,0.376,9,-10.482,0,0.0283,0.315,0.000748,0.147,0.253,81.001,audio_features,302200,4,Lonely Woman,Ornette Coleman
0.503,0.574,5,-15.687,0,0.0645,0.804,0.00825,0.319,0.596,92.584,audio_features,587151,4,Space is the Place,Sun Ra
0.597,0.635,1,-9.843,1,0.107,0.633,0.631,0.112,0.566,91.159,audio_features,392627,4,Where Pathways Meet - Remastered,Sun Ra
0.564,0.469,9,-11.571,1,0.0522,0.0627,0.54,0.0943,0.13,97.885,audio_features,219373,4,American Tango,Weather Report
0.321,0.339,8,-15.375,1,0.0411,0.4,0.0892,0.0866,0.81,209.87,audio_features,173963,5,Angels and Demons at Play,Sun Ra
0.184,0.543,11,-13.583,0,0.0391,0.016,0.0,0.105,0.211,98.4,audio_features,396067,3,Journey In Satchidananda,Alice Coltrane
0.667,0.478,10,-10.19,1,0.131,0.783,0.0,0.347,0.383,86.38,audio_features,464387,4,Nuclear War,Sun Ra
0.392,0.118,4,-19.992,1,0.0383,0.901,0.0669,0.0936,0.121,81.925,audio_features,353200,1,Lon Lon,Jasper van't Hofs Pili Pili
0.788,0.699,10,-13.549,0,0.0533,0.238,0.0044,0.062,0.924,112.384,audio_features,436360,4,Ilé,Jasper van't Hofs Pili Pili
0.641,0.725,7,-7.376,1,0.039,0.16,0.00321,0.648,0.808,112.529,audio_features,170133,4,Peace Frog,The Doors
0.674,0.706,9,-9.012,1,0.0384,0.108,6.48e-06,0.114,0.961,133.789,audio_features,172400,4,Mr. Soul,Neil Young
0.786,0.357,4,-15.838,0,0.0472,0.416,0.00119,0.0756,0.712,88.969,audio_features,177507,4,Her Eyes Are a Blue Million Miles,Captain Beefheart & His Magic Band
0.558,0.744,4,-7.791,0,0.037,0.569,0.000148,0.24,0.54,128.949,audio_features,186507,4,Coming into Los Angeles - Remastered,Arlo Guthrie
0.543,0.697,11,-7.42,1,0.105,0.0756,0.821,0.133,0.637,182.301,audio_features,216827,4,Mambo Sun,T. Rex
0.366,0.515,9,-11.451,1,0.0335,0.106,0.0,0.152,0.628,142.493,audio_features,210467,4,"Hungry Freaks, Daddy",The Mothers Of Invention
0.515,0.562,2,-14.204,1,0.0403,0.378,0.000101,0.0966,0.934,167.709,audio_features,157387,4,Pacific Ocean Blues,Dennis Wilson
0.584,0.708,7,-8.958,1,0.0356,0.268,0.0,0.271,0.927,107.873,audio_features,129507,4,Mr. Spaceman,The Byrds
0.523,0.411,0,-13.371,0,0.0749,0.0637,1.28e-06,0.047,0.277,105.659,audio_features,166360,4,Tales Of Brave Ulysses,Cream
0.358,0.893,9,-5.948,1,0.0339,0.00153,0.152,0.272,0.591,96.388,audio_features,337750,4,Wah-Wah - 2014 Remaster,George Harrison
0.401,0.511,0,-14.343,1,0.0397,0.376,0.00036,0.187,0.697,140.613,audio_features,243366,4,The Wheel,Jerry Garcia
0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,audio_features,283000,4,Rock & Roll - Full Length Version; 2015 Remaster,The Velvet Underground
0.51,0.595,2,-11.023,1,0.0383,0.0964,0.0186,0.338,0.632,131.762,audio_features,294093,4,Charlie Don't Surf - Remastered,The Clash
0.691,0.672,0,-6.924,1,0.0247,0.104,0.000867,0.0478,0.555,90.369,audio_features,331000,4,Cats Under The Stars,Jerry Garcia Band
0.452,0.757,6,-5.41,0,0.0396,0.409,0.344,0.135,0.567,115.546,audio_features,319587,4,Fresh Air - Remastered,Quicksilver Messenger Service
0.429,0.958,2,-10.437,1,0.057,0.0494,0.00302,0.298,0.437,161.004,audio_features,178400,4,Lazy Days,The Flying Burrito Brothers
0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,audio_features,197275,4,Alone Again Or - 2015 Remaster,Love
0.502,0.285,7,-14.638,0,0.0265,0.667,0.000105,0.346,0.35,94.311,audio_features,288600,4,Feel Flows - Remastered 2009,The Beach Boys
0.528,0.655,0,-7.85,0,0.0262,0.0102,0.723,0.377,0.367,115.285,audio_features,331853,4,Nineteen Hundred And Eighty Five - 2010 Remaster,Paul McCartney
0.577,0.536,2,-13.954,1,0.0488,0.0407,0.00384,0.126,0.606,130.711,audio_features,347400,4,Gigolo Aunt,Syd Barrett
0.451,0.348,9,-14.805,1,0.032,0.539,3.19e-06,0.143,0.613,80.964,audio_features,426053,3,Astral Weeks - 1999 Remaster,Van Morrison
0.428,0.923,2,-4.454,0,0.123,0.0108,0.436,0.0985,0.681,151.005,audio_features,146738,4,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),13th Floor Elevators
0.388,0.47,9,-13.439,1,0.0399,0.0368,2.35e-05,0.083,0.287,114.666,audio_features,499867,4,Dirty Business,New Riders of the Purple Sage
0.458,0.704,8,-9.609,1,0.0578,0.414,0.000161,0.334,0.846,115.79,audio_features,134667,4,"Sure 'Nuff 'n' Yes, I Do",Captain Beefheart & His Magic Band
0.691,0.493,11,-10.616,1,0.0285,0.45,0.00517,0.0231,0.801,91.541,audio_features,166560,4,Born Under a Bad Sign,Jimi Hendrix
0.535,0.975,0,-2.959,1,0.0647,0.0297,0.126,0.0482,0.689,96.004,audio_features,222960,4,When The Curtain Falls,Greta Van Fleet
0.545,0.416,2,-11.979,1,0.0433,0.559,0.00496,0.0369,0.295,76.872,audio_features,394921,4,Ten Years Gone - Remaster,Led Zeppelin
0.593,0.714,2,-8.691,1,0.0266,0.0622,0.00439,0.359,0.842,117.069,audio_features,194320,4,Days - 2003 Remaster,Television
0.67,0.594,6,-12.591,1,0.0277,0.209,0.171,0.0713,0.205,134.93,audio_features,221840,4,1880 Or So,Television
0.573,0.729,11,-8.207,0,0.0423,0.0575,0.139,0.0948,0.568,121.353,audio_features,426080,4,Little Johnny Jewel - Parts 1 & 2,Television
0.625,0.884,8,-5.648,1,0.0727,0.0167,0.000538,0.103,0.92,90.969,audio_features,307067,4,Oran Marseille - Oran Mix,Khaled
0.732,0.481,9,-14.099,1,0.0466,0.118,0.807,0.115,0.941,103.992,audio_features,230227,4,Hamama,Raïna Raï
0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,audio_features,276880,4,Tom Sawyer,Rush
0.411,0.526,1,-14.127,0,0.0864,0.182,0.000204,0.0974,0.741,90.015,audio_features,302472,3,Foufoudanba,Hamid El Gnawi
0.762,0.881,4,-7.435,0,0.0369,0.406,0.000288,0.0928,0.887,105.982,audio_features,267360,4,Kifach Hilti,Djamel Laroussi
0.731,0.868,10,-6.767,0,0.0546,0.018,0.000829,0.0663,0.785,98.768,audio_features,298507,4,Didi,Khaled
0.656,0.469,3,-15.941,0,0.0281,0.0223,0.00866,0.0475,0.66,110.037,audio_features,237560,4,Joséphine,Rachid Taha
0.783,0.576,9,-15.583,0,0.048,0.432,0.0,0.305,0.865,132.886,audio_features,260160,4,Fata Morgana,Dissidenten
0.657,0.774,4,-7.989,0,0.0395,0.406,3.57e-05,0.0926,0.896,91.98,audio_features,225120,4,Ombre elle,Gnawa Diffusion
0.687,0.904,10,-7.057,0,0.0573,0.626,1.78e-06,0.0808,0.89,96.022,audio_features,445680,4,N'TA GOUDAMI,Cheikha Rimitti
0.541,0.431,2,-15.591,1,0.0288,0.103,0.000101,0.262,0.945,140.561,audio_features,412173,4,Walking In The Wind,Traffic
0.537,0.361,4,-15.617,1,0.0327,0.32,0.0,0.0756,0.889,105.668,audio_features,141493,4,Leaves That Are Green,Simon & Garfunkel
0.501,0.736,7,-9.953,1,0.114,0.318,0.0,0.33,0.926,94.218,audio_features,217227,4,Medicated Goo,Traffic
0.425,0.34,9,-14.176,1,0.0357,0.656,0.0,0.127,0.488,110.208,audio_features,131747,4,Flowers Never Bend with the Rainfall,Simon & Garfunkel
0.275,0.355,2,-12.269,1,0.0308,0.827,0.316,0.0524,0.0778,114.823,audio_features,312973,4,Nobody Loves You (When You're Down And Out) - Remastered 2010,John Lennon
0.414,0.238,4,-16.215,1,0.0306,0.791,0.0285,0.0968,0.479,100.85,audio_features,163680,4,Bleecker Street,Simon & Garfunkel
0.515,0.442,9,-8.927,1,0.0325,0.00577,0.366,0.111,0.622,138.031,audio_features,260347,4,Let the Sky Fall - 2004 Remaster,Ten Years After
0.602,0.482,0,-13.382,1,0.0316,0.405,0.0669,0.0976,0.968,139.196,audio_features,204133,4,Home,LCD Soundsystem
0.695,0.477,2,-12.431,1,0.0322,0.394,0.886,0.137,0.834,103.567,audio_features,213893,4,Mammagamma - Instrumental,The Alan Parsons Project
0.615,0.616,6,-10.39,0,0.133,0.0399,0.000129,0.348,0.836,170.776,audio_features,235000,4,Loser,Jerry Garcia
0.783,0.284,9,-14.307,1,0.0365,0.679,0.282,0.0767,0.584,82.676,audio_features,412596,4,Althea - 2013 Remaster,Grateful Dead
0.832,0.472,2,-14.403,1,0.0646,0.716,0.00179,0.0824,0.889,99.29,audio_features,274942,4,Franklin's Tower - 2013 Remaster,Grateful Dead
0.401,0.561,2,-10.432,1,0.0297,0.118,0.0711,0.0985,0.459,120.117,audio_features,511307,4,"Wharf Rat - Live at Fillmore East, New York, NY, April 26, 1971",Grateful Dead
0.809,0.575,0,-12.176,1,0.0298,0.156,1.65e-06,0.0799,0.85,109.447,audio_features,300209,4,Shakedown Street - 2013 Remaster,Grateful Dead
0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,audio_features,350862,4,Touch of Grey - 2013 Remaster,Grateful Dead
0.655,0.398,11,-13.822,0,0.051,0.456,0.00099,0.0814,0.659,130.722,audio_features,336579,1,Estimated Prophet - 2014 Remaster,Grateful Dead
0.548,0.738,7,-10.618,1,0.0365,0.268,0.69,0.17,0.953,88.764,audio_features,340307,4,"Bertha - Live at Fillmore East, New York, NY, April 27, 1971",Grateful Dead
0.458,0.713,7,-9.858,1,0.0541,0.117,0.0129,0.274,0.711,117.844,audio_features,525293,4,Inca Roads,Frank Zappa
0.675,0.41,2,-15.248,1,0.0459,0.834,6.37e-05,0.0939,0.503,80.279,audio_features,187346,4,Any Major Dude Will Tell You,Steely Dan
0.463,0.496,1,-12.203,1,0.041,0.059,1.24e-06,0.271,0.533,118.505,audio_features,265933,4,Carry On,"Crosby, Stills, Nash & Young"
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,337413,4,A Day In The Life - Remastered 2009,The Beatles
0.617,0.544,7,-9.529,0,0.0433,0.425,0.000948,0.34,0.623,119.068,audio_features,256360,4,Don't Take Me Alive,Steely Dan
0.576,0.727,4,-9.973,0,0.05,0.702,0.0,0.324,0.751,173.854,audio_features,141293,4,Subterranean Homesick Blues,Bob Dylan
0.471,0.471,7,-10.483,1,0.0437,0.185,0.00927,0.164,0.575,136.829,audio_features,269173,4,Almost Cut My Hair,"Crosby, Stills, Nash & Young"
0.379,0.431,0,-15.187,1,0.0332,0.597,0.0627,0.106,0.581,181.004,audio_features,405973,3,Unbroken Chain - 2013 Remaster,Grateful Dead
0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,audio_features,124001,4,Pink Moon,Nick Drake
0.345,0.745,2,-11.021,1,0.0327,0.365,0.735,0.19,0.879,105.058,audio_features,450600,4,Jessica,Allman Brothers Band
0.471,0.839,4,-5.928,1,0.032,0.00654,0.000278,0.315,0.895,131.362,audio_features,264406,4,What Is Life - 2014 Remaster,George Harrison
0.418,0.414,7,-12.427,1,0.0338,0.254,0.0455,0.628,0.372,92.736,audio_features,309316,4,Morning Dew - 2013 Remaster,Grateful Dead
0.674,0.398,11,-20.218,1,0.0605,0.905,0.807,0.153,0.96,83.24,audio_features,166573,4,Jockey Full Of Bourbon,Tom Waits
0.465,0.357,2,-13.532,1,0.0343,0.487,0.0121,0.155,0.582,130.74,audio_features,191000,4,Fresh-Garbage,Spirit
0.479,0.291,7,-17.588,1,0.0257,0.156,0.0,0.0512,0.565,88.694,audio_features,309200,4,Wots ... Uh The Deal - 2011 Remastered Version,Pink Floyd
0.759,0.367,0,-19.024,1,0.0367,0.848,1.12e-06,0.227,0.96,129.882,audio_features,175274,4,Only A Fool Would Say That,Steely Dan
0.34,0.304,4,-13.39,0,0.033,0.666,0.0765,0.112,0.567,158.476,audio_features,326293,4,Wooden Ships,"Crosby, Stills, Nash & Young"
0.509,0.827,0,-7.715,1,0.0782,0.0409,0.0,0.12,0.743,135.601,audio_features,512733,4,Hurricane,Bob Dylan
0.395,0.579,9,-7.565,0,0.0341,0.0943,0.0925,0.176,0.218,90.443,audio_features,331627,4,Sister Morphine - 2009 Mix,The Rolling Stones
0.612,0.358,10,-11.944,1,0.0343,0.798,0.889,0.114,0.391,109.968,audio_features,125387,3,"The Desert, Pt. 2",René Aubry
0.814,0.257,7,-13.47,0,0.0468,0.955,0.889,0.102,0.761,112.537,audio_features,132827,3,The Woman and the Tree,René Aubry
0.705,0.352,4,-12.43,0,0.0292,0.892,0.531,0.0762,0.394,100.023,audio_features,345200,4,Salento,René Aubry
0.547,0.922,2,-11.631,1,0.0789,0.0128,0.145,0.376,0.399,152.063,audio_features,270893,4,Desert Roots,Hamid Baroudi
0.725,0.716,11,-9.768,0,0.0345,0.065,0.0012,0.0831,0.935,116.075,audio_features,254400,4,Haoulou,Cheb Mami
0.362,0.926,1,-3.532,0,0.0622,0.000273,0.00373,0.258,0.673,178.991,audio_features,246187,4,Fatima,Hamid Baroudi
0.563,0.857,0,-5.417,0,0.0409,0.00526,0.808,0.183,0.225,99.981,audio_features,240000,4,Sphere,Ron Trent
0.203,0.0887,9,-22.385,1,0.0395,0.982,0.967,0.0783,0.0335,80.504,audio_features,47027,5,"Mystical Adventures (Suite), Pt. IV",Jean-Luc Ponty
0.228,0.379,2,-15.817,0,0.0336,0.832,0.894,0.109,0.531,138.852,audio_features,259867,4,Dreamy Eyes,Jean-Luc Ponty
0.274,0.535,2,-15.046,0,0.036,0.0764,0.157,0.155,0.235,98.277,audio_features,143107,4,"Enigmatic Ocean, Pt. I",Jean-Luc Ponty
0.491,0.47,4,-13.45,1,0.0264,0.747,0.747,0.128,0.846,93.964,audio_features,311704,4,Blue Sky,Allman Brothers Band
0.631,0.755,5,-7.65,0,0.0573,0.518,0.000864,0.0629,0.763,95.364,audio_features,187267,4,Two Trains,Little Feat
0.535,0.596,9,-12.033,1,0.0313,0.115,0.0183,0.0932,0.757,109.319,audio_features,288093,4,Light Up Or Leave Me Alone,Traffic
0.512,0.532,9,-12.432,1,0.0645,0.571,1.02e-06,0.157,0.846,75.75,audio_features,178667,4,Rock and Roll Doctor,Little Feat
0.468,0.527,5,-10.781,1,0.0407,0.314,0.0,0.234,0.749,94.852,audio_features,257600,4,Feelin' Alright?,Traffic
0.439,0.696,4,-7.911,1,0.0405,0.0753,0.197,0.0846,0.307,99.72,audio_features,313554,4,Chest Fever - Remastered 2000,The Band
0.758,0.306,2,-16.445,1,0.044,0.081,0.124,0.0643,0.713,120.099,audio_features,351933,4,Station Man,Fleetwood Mac
0.458,0.423,0,-8.647,1,0.0321,0.254,0.00013,0.118,0.491,126.984,audio_features,201022,4,Strangers - 2020 Stereo Remaster,The Kinks
0.579,0.693,0,-8.023,1,0.0814,0.517,0.14,0.0713,0.728,99.902,audio_features,217508,4,King Harvest (Has Surely Come),The Band
0.557,0.669,11,-6.392,1,0.059,0.852,0.0037,0.279,0.541,88.547,audio_features,327007,4,اغنية مصر ام المؤمنين,Native Egyptian Prince Ahmed Barakat
0.719,0.829,7,-8.378,1,0.0835,0.0643,0.281,0.0983,0.551,100.655,audio_features,275027,4,Caravan II Bagdad,Hamid Baroudi
0.706,0.046,2,-17.771,0,0.136,0.973,0.954,0.0713,0.297,109.32,audio_features,34034,4,Pearl & the Governess,René Aubry
0.171,0.65,7,-11.147,1,0.0483,0.834,0.902,0.0909,0.33,199.614,audio_features,108350,3,In the Oceon,René Aubry
0.718,0.334,8,-13.921,1,0.04,0.969,0.629,0.11,0.83,117.437,audio_features,112053,4,Christmas Morning,René Aubry
0.517,0.125,6,-20.148,0,0.0382,0.769,0.581,0.106,0.0461,101.293,audio_features,133000,3,One Snowy Night,René Aubry
0.473,0.634,0,-12.912,1,0.031,0.0761,0.845,0.126,0.797,144.93,audio_features,388040,4,Demagomania,Jean-Luc Ponty
0.623,0.608,2,-12.174,0,0.0309,0.739,0.91,0.062,0.935,144.363,audio_features,243600,4,Rhythms of Hope,Jean-Luc Ponty
0.677,0.532,9,-11.412,1,0.0432,0.663,0.035,0.197,0.63,106.678,audio_features,320502,4,Eyes of the World - 2013 Remaster,Grateful Dead
0.601,0.492,0,-8.185,1,0.0274,0.484,0.0139,0.308,0.727,131.383,audio_features,430627,4,Tennessee Jed - 2001 Remaster,Grateful Dead
0.744,0.488,11,-12.557,0,0.0483,0.469,0.326,0.55,0.691,133.13,audio_features,528560,4,"Estimated Prophet - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77",Grateful Dead
0.487,0.2,11,-21.64,1,0.0448,0.973,0.935,0.109,0.582,92.061,audio_features,127746,4,Little Martha,Allman Brothers Band
0.515,0.449,2,-15.465,1,0.0425,0.884,0.913,0.469,0.603,174.254,audio_features,99107,4,"Mind Left Body Jam - Live, June 26/28, 1974",Grateful Dead
0.728,0.681,1,-7.81,0,0.0486,0.166,0.000976,0.44,0.689,95.02,audio_features,365960,4,El Bareh,Hamid Baroudi
0.664,0.765,6,-4.178,0,0.0314,0.0395,4.92e-05,0.114,0.827,96.105,audio_features,377027,4,NOUAR,Cheikha Rimitti
0.677,0.698,2,-8.443,1,0.0758,0.743,3.42e-06,0.0816,0.962,130.132,audio_features,250667,4,Ma kayen walou kima l'amour,Cheikh Sidi Bémol
0.48,0.915,9,-6.292,1,0.134,0.669,0.00338,0.868,0.605,105.164,audio_features,491013,4,Alaoui,Orchestre National De Barbes
0.55,0.64,5,-4.458,1,0.0285,0.573,2.17e-05,0.0984,0.723,143.893,audio_features,250453,4,Taguebarbt,Gaada Diwane De Béchar
0.506,0.301,9,-15.926,1,0.0431,0.914,0.0157,0.229,0.573,155.538,audio_features,529400,4,"Althea - Live at Hartford Civic Center, October 14, 1983",Grateful Dead
0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,audio_features,273600,4,Mary Jane's Last Dance,Tom Petty and the Heartbreakers
0.497,0.792,2,-7.807,1,0.0874,0.036,0.000294,0.317,0.369,99.697,audio_features,262493,4,The Wizard,Black Sabbath
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,audio_features,270213,4,The Chain - 2004 Remaster,Fleetwood Mac
0.318,0.657,2,-11.829,1,0.0358,0.101,3.01e-06,0.144,0.753,177.477,audio_features,190373,4,The Seeker - Edit,The Who
0.362,0.928,2,-4.015,1,0.0503,0.164,1.61e-05,0.315,0.678,175.868,audio_features,234600,4,Safari Song,Greta Van Fleet
0.62,0.878,9,-9.064,1,0.0443,0.0264,0.776,0.235,0.708,129.236,audio_features,272996,4,Space Truckin' - Remastered 2012,Deep Purple
0.373,0.869,4,-7.719,1,0.0554,0.164,7.76e-06,0.605,0.696,184.024,audio_features,221400,4,Godzilla,Blue Öyster Cult
0.684,0.481,2,-12.59,1,0.0384,0.475,6.57e-05,0.118,0.784,115.078,audio_features,250000,4,Sunshine Of Your Love,Cream
0.688,0.72,7,-10.796,1,0.0449,0.564,0.000744,0.0464,0.96,109.516,audio_features,233200,4,"Come On, Come Over",Jaco Pastorius
0.249,0.82,7,-8.284,0,0.0494,0.132,0.818,0.153,0.219,151.79,audio_features,282133,4,Cosmic Messenger,Jean-Luc Ponty
0.479,0.909,2,-7.404,1,0.0716,9.07e-05,0.758,0.634,0.278,111.892,audio_features,310467,4,Leafy Meadows,John Paul Jones
0.466,0.755,2,-7.06,1,0.0485,0.049,0.289,0.0797,0.8,148.815,audio_features,345573,4,I've Been There Too - 2004 Remaster,Ten Years After
0.532,0.802,9,-7.7,1,0.087,0.0172,0.191,0.102,0.763,95.272,audio_features,237027,4,Homeward Strut,Tommy Bolin
0.345,0.949,2,-4.481,0,0.127,0.00235,0.0,0.235,0.504,86.142,audio_features,229147,4,Rainmaker,Traffic
0.347,0.899,0,-6.915,1,0.0969,0.485,0.907,0.341,0.0631,119.871,audio_features,420200,4,Hoediddle,John Paul Jones
0.661,0.193,9,-16.34,1,0.046,0.098,0.881,0.0981,0.428,92.454,audio_features,152267,4,Bass 'n' drums,John Paul Jones
0.448,0.542,4,-13.774,0,0.0672,0.183,0.786,0.106,0.319,143.792,audio_features,236467,4,White Summer - 2003 Remaster,The Yardbirds
0.311,0.78,11,-10.169,0,0.105,0.00252,0.000164,0.165,0.452,125.437,audio_features,412173,4,Sometime World,Wishbone Ash
0.402,0.622,7,-7.517,1,0.026,0.0612,0.0802,0.159,0.42,140.714,audio_features,191427,4,Hard Monkeys - 2004 Remaster,Ten Years After
0.405,0.737,8,-8.695,1,0.0396,0.0262,0.0108,0.177,0.501,131.133,audio_features,489480,4,The Return Of The Giant Hogweed - Digital Remastered 2008,Genesis
0.489,0.906,9,-3.64,1,0.102,0.423,0.129,0.0922,0.699,147.137,audio_features,150973,4,Runaway,Traveling Wilburys
0.476,0.504,0,-14.532,1,0.0282,0.295,0.000153,0.256,0.947,183.057,audio_features,189440,4,Born Under A Bad Sign,Cream
0.554,0.818,2,-6.864,1,0.0362,0.0779,0.0106,0.341,0.512,142.339,audio_features,130720,4,Love Ain't For Keeping,The Who
0.803,0.861,9,-5.393,0,0.05,0.103,0.0,0.0801,0.899,110.528,audio_features,327853,4,Tweeter And The Monkey Man,Traveling Wilburys
0.599,0.868,2,-8.587,0,0.0303,0.467,0.031,0.0684,0.858,140.149,audio_features,311427,4,Expresso Love,Dire Straits
0.293,0.727,1,-9.495,1,0.069,0.198,0.0576,0.133,0.232,116.895,audio_features,347667,4,Love Reign O'er Me,The Who
0.52,0.875,9,-8.075,1,0.151,0.0215,0.03,0.0709,0.887,169.214,audio_features,233067,4,Always On The Run,Lenny Kravitz
0.247,0.458,4,-10.509,0,0.0322,0.105,3.33e-05,0.283,0.465,171.923,audio_features,243373,3,We Used to Know,Jethro Tull
0.56,0.743,10,-8.71,1,0.0422,0.304,0.000204,0.108,0.463,168.196,audio_features,264440,4,Join Together,The Who
0.798,0.633,2,-11.65,1,0.0355,0.0956,0.00027,0.0694,0.81,122.376,audio_features,303347,4,Prime Time,The Alan Parsons Project
0.604,0.704,4,-7.695,0,0.0365,0.494,0.000647,0.0761,0.587,128.496,audio_features,307800,4,Home By The Sea - Remastered 2007,Genesis
0.553,0.733,2,-8.405,1,0.0316,0.00798,4.6e-05,0.417,0.808,135.344,audio_features,322560,4,Union Sundown,Bob Dylan
0.616,0.757,1,-7.131,0,0.025,0.179,0.41,0.0754,0.513,95.572,audio_features,457627,4,Victim or the Crime - 2004 Remaster,Grateful Dead
0.649,0.627,2,-9.012,1,0.0315,0.303,0.0,0.118,0.249,115.221,audio_features,240680,4,Blow Away - 2004 Remaster,Grateful Dead
0.549,0.652,4,-14.167,0,0.0352,0.0609,0.964,0.224,0.702,128.475,audio_features,269027,4,The Art of Happiness,Jean-Luc Ponty
0.46,0.632,0,-10.067,1,0.0373,0.0208,0.796,0.154,0.281,116.144,audio_features,158920,3,Sofa No. 1,Frank Zappa
0.311,0.699,11,-12.857,0,0.0765,0.208,0.909,0.683,0.4,92.103,audio_features,400880,4,Eat That Question,Frank Zappa
0.851,0.579,8,-9.466,0,0.0488,0.334,0.011,0.11,0.935,98.375,audio_features,219240,4,Visions Of China - 2003 Digital Remaster,Japan
0.63,0.628,7,-10.356,1,0.0331,0.167,3.39e-05,0.333,0.729,148.661,audio_features,262093,4,Neal And Jack And Me,King Crimson
0.478,0.712,9,-10.915,0,0.0298,0.0539,0.719,0.0975,0.732,98.894,audio_features,537360,4,Son Of Mr. Green Genes,Frank Zappa
0.805,0.594,9,-10.938,1,0.0495,0.0221,0.191,0.0582,0.926,113.542,audio_features,212351,4,I Want More,CAN
0.484,0.485,9,-13.054,1,0.0329,0.279,1.67e-06,0.267,0.305,93.311,audio_features,138400,4,Keep Your Mind Open,Kaleidoscope
0.391,0.862,2,-8.024,1,0.0518,0.000392,0.754,0.106,0.285,177.869,audio_features,358627,4,The Thunderthief,John Paul Jones
0.548,0.778,7,-6.367,1,0.0551,0.279,0.0247,0.0484,0.969,120.37,audio_features,181396,4,Honky Tonk,Miles Davis
0.471,0.258,7,-19.476,1,0.0346,0.576,8.16e-05,0.11,0.0908,110.634,audio_features,284320,4,The Red Telephone - 2015 Remaster,Love
0.511,0.426,0,-11.739,1,0.0406,0.414,0.0,0.0495,0.652,168.319,audio_features,271107,4,Pied Piper - 2002 Remaster,Jethro Tull
0.427,0.569,11,-10.236,1,0.0656,0.0875,0.0,0.0928,0.718,189.968,audio_features,214333,4,Big Dipper - 2002 Remaster,Jethro Tull
0.503,0.251,9,-17.092,0,0.0461,0.777,0.917,0.0745,0.631,118.59,audio_features,226133,4,Bourée,Jethro Tull
0.53,0.466,0,-10.959,1,0.0478,0.269,0.0,0.0705,0.449,74.8,audio_features,340467,4,Too Old to Rock 'n' Roll: Too Young to Die! - 2002 Remaster,Jethro Tull
0.708,0.733,6,-8.039,0,0.275,0.0207,0.0242,0.0718,0.641,173.182,audio_features,169307,4,Grind,John Paul Jones
0.344,0.83,9,-7.67,1,0.0571,0.0133,0.0356,0.101,0.434,116.883,audio_features,457449,4,"50,000 Miles Beneath My Brain - 2017 Remaster",Ten Years After
0.608,0.548,0,-8.415,1,0.0276,0.195,0.0184,0.136,0.542,140.03,audio_features,290827,4,Oh Yeah,CAN
0.638,0.704,0,-8.385,0,0.0339,0.0321,0.00668,0.355,0.759,102.996,audio_features,349933,4,Streets of Algiers,Hamid Baroudi
0.282,0.525,2,-8.42,1,0.0414,0.0886,2.1e-05,0.328,0.852,169.457,audio_features,231280,3,The Witch's Promise - 2001 Remaster,Jethro Tull
0.383,0.516,9,-12.032,0,0.0344,0.202,0.193,0.114,0.371,118.144,audio_features,224133,4,I'd Love to Change the World - 2004 Remaster,Ten Years After
